OpenROAD f12e2f474102bfb875eeee57fb610d7d7de17770 
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO PSM-0002] Output voltage file is specified as: /workspace/iris_c3a247b9-0025-43e1-bae8-42a940fa0b63/Chip-Orchestra/output/nanocgra_lite_3x3_opt/reports/pdnsim_vdd.rpt.
[WARNING PSM-0016] Voltage pad location (VSRC) file not specified, defaulting pad location to checkerboard pattern on core area.
[WARNING PSM-0017] X direction bump pitch is not specified, defaulting to 140um.
[WARNING PSM-0018] Y direction bump pitch is not specified, defaulting to 140um.
[WARNING PSM-0065] VSRC location not specified, using default checkerboard pattern with one VDD every size bumps in x-direction and one in two bumps in the y-direction
[WARNING PSM-0030] VSRC location at (10.080um, 11.760um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (10.080um, 41.460um).
[WARNING PSM-0030] VSRC location at (290.080um, 151.760um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (280.080um, 161.460um).
[INFO PSM-0031] Number of PDN nodes on net vdd = 16202.
[WARNING PSM-0024] Instance _04710_, current node at (415800, 658560) at layer 1 have been moved from (415520, 650720).
[WARNING PSM-0024] Instance _04711_, current node at (399600, 595840) at layer 1 have been moved from (399840, 588000).
[WARNING PSM-0024] Instance _04712_, current node at (270000, 846720) at layer 1 have been moved from (268800, 838880).
[WARNING PSM-0024] Instance _04713_, current node at (275400, 846720) at layer 1 have been moved from (273280, 838880).
[WARNING PSM-0024] Instance _04715_, current node at (221400, 815360) at layer 1 have been moved from (221760, 807520).
[WARNING PSM-0024] Instance _04716_, current node at (216000, 831040) at layer 1 have been moved from (213920, 823200).
[WARNING PSM-0024] Instance _04718_, current node at (415800, 705600) at layer 1 have been moved from (415520, 697760).
[WARNING PSM-0024] Instance _04719_, current node at (453600, 705600) at layer 1 have been moved from (451360, 697760).
[WARNING PSM-0024] Instance _04720_, current node at (378000, 564480) at layer 1 have been moved from (379680, 556640).
[WARNING PSM-0024] Instance _04721_, current node at (334800, 689920) at layer 1 have been moved from (336000, 682080).
[WARNING PSM-0024] Instance _04726_, current node at (696600, 689920) at layer 1 have been moved from (697760, 682080).
[WARNING PSM-0024] Instance _04728_, current node at (572400, 784000) at layer 1 have been moved from (572320, 776160).
[WARNING PSM-0024] Instance _04729_, current node at (545400, 705600) at layer 1 have been moved from (546560, 697760).
[WARNING PSM-0024] Instance _04730_, current node at (707400, 705600) at layer 1 have been moved from (706720, 697760).
[WARNING PSM-0024] Instance _04735_, current node at (140400, 658560) at layer 1 have been moved from (141120, 650720).
[WARNING PSM-0024] Instance _04737_, current node at (156600, 642880) at layer 1 have been moved from (159040, 635040).
[WARNING PSM-0024] Instance _04747_, current node at (232200, 611520) at layer 1 have been moved from (229600, 603680).
[WARNING PSM-0024] Instance _04749_, current node at (221400, 642880) at layer 1 have been moved from (220640, 635040).
[WARNING PSM-0024] Instance _04751_, current node at (729000, 533120) at layer 1 have been moved from (726880, 525280).
[WARNING PSM-0024] Instance _04754_, current node at (918000, 517440) at layer 1 have been moved from (920640, 509600).
[WARNING PSM-0024] Instance _04755_, current node at (907200, 501760) at layer 1 have been moved from (908320, 493920).
[WARNING PSM-0024] Instance _04758_, current node at (793800, 972160) at layer 1 have been moved from (795200, 964320).
[WARNING PSM-0024] Instance _04759_, current node at (1047600, 987840) at layer 1 have been moved from (1044960, 980000).
[WARNING PSM-0024] Instance _04761_, current node at (1026000, 407680) at layer 1 have been moved from (1025920, 399840).
[WARNING PSM-0024] Instance _04764_, current node at (934200, 470400) at layer 1 have been moved from (936320, 462560).
[WARNING PSM-0024] Instance _04765_, current node at (837000, 658560) at layer 1 have been moved from (838880, 650720).
[WARNING PSM-0024] Instance _04766_, current node at (864000, 674240) at layer 1 have been moved from (862400, 666400).
[WARNING PSM-0024] Instance _04768_, current node at (928800, 423360) at layer 1 have been moved from (926240, 415520).
[WARNING PSM-0024] Instance _04769_, current node at (918000, 439040) at layer 1 have been moved from (916160, 431200).
[WARNING PSM-0024] Instance _04770_, current node at (766800, 470400) at layer 1 have been moved from (766080, 462560).
[WARNING PSM-0024] Instance _04771_, current node at (826200, 486080) at layer 1 have been moved from (825440, 478240).
[WARNING PSM-0024] Instance _04772_, current node at (777600, 454720) at layer 1 have been moved from (777280, 446880).
[WARNING PSM-0024] Instance _04776_, current node at (777600, 329280) at layer 1 have been moved from (779520, 321440).
[WARNING PSM-0024] Instance _04780_, current node at (529200, 423360) at layer 1 have been moved from (527520, 415520).
[WARNING PSM-0024] Instance _04782_, current node at (486000, 392000) at layer 1 have been moved from (488320, 384160).
[WARNING PSM-0024] Instance _04783_, current node at (599400, 360640) at layer 1 have been moved from (599200, 352800).
[WARNING PSM-0024] Instance _04787_, current node at (918000, 658560) at layer 1 have been moved from (916160, 650720).
[WARNING PSM-0024] Instance _04791_, current node at (777600, 768320) at layer 1 have been moved from (777280, 760480).
[WARNING PSM-0024] Instance _04792_, current node at (831600, 784000) at layer 1 have been moved from (831040, 776160).
[WARNING PSM-0024] Instance _04793_, current node at (842400, 517440) at layer 1 have been moved from (840000, 509600).
[WARNING PSM-0024] Instance _04795_, current node at (761400, 689920) at layer 1 have been moved from (763840, 682080).
[WARNING PSM-0024] Instance _04796_, current node at (766800, 658560) at layer 1 have been moved from (766080, 650720).
[WARNING PSM-0024] Instance _04798_, current node at (793800, 548800) at layer 1 have been moved from (791840, 540960).
[WARNING PSM-0024] Instance _04801_, current node at (831600, 580160) at layer 1 have been moved from (833280, 572320).
[WARNING PSM-0024] Instance _04804_, current node at (928800, 658560) at layer 1 have been moved from (927360, 650720).
[WARNING PSM-0024] Instance _04805_, current node at (869400, 501760) at layer 1 have been moved from (866880, 493920).
[WARNING PSM-0024] Instance _04806_, current node at (847800, 470400) at layer 1 have been moved from (850080, 462560).
[WARNING PSM-0024] Instance _04808_, current node at (896400, 658560) at layer 1 have been moved from (897120, 650720).
[WARNING PSM-0024] Instance _04809_, current node at (523800, 627200) at layer 1 have been moved from (525280, 619360).
[WARNING PSM-0024] Instance _04812_, current node at (540000, 642880) at layer 1 have been moved from (542080, 635040).
[WARNING PSM-0024] Instance _04813_, current node at (572400, 627200) at layer 1 have been moved from (571200, 619360).
[WARNING PSM-0024] Instance _04817_, current node at (610200, 721280) at layer 1 have been moved from (611520, 713440).
[WARNING PSM-0024] Instance _04820_, current node at (734400, 799680) at layer 1 have been moved from (732480, 791840).
[WARNING PSM-0024] Instance _04821_, current node at (837000, 862400) at layer 1 have been moved from (834400, 854560).
[WARNING PSM-0024] Instance _04822_, current node at (837000, 831040) at layer 1 have been moved from (837760, 823200).
[WARNING PSM-0024] Instance _04825_, current node at (950400, 878080) at layer 1 have been moved from (950880, 870240).
[WARNING PSM-0024] Instance _04830_, current node at (626400, 862400) at layer 1 have been moved from (628320, 854560).
[WARNING PSM-0024] Instance _04831_, current node at (637200, 862400) at layer 1 have been moved from (635040, 854560).
[WARNING PSM-0024] Instance _04833_, current node at (777600, 862400) at layer 1 have been moved from (777280, 854560).
[WARNING PSM-0024] Instance _04835_, current node at (696600, 784000) at layer 1 have been moved from (697760, 776160).
[WARNING PSM-0024] Instance _04838_, current node at (480600, 784000) at layer 1 have been moved from (479360, 776160).
[WARNING PSM-0024] Instance _04841_, current node at (513000, 705600) at layer 1 have been moved from (515200, 697760).
[WARNING PSM-0024] Instance _04844_, current node at (91800, 533120) at layer 1 have been moved from (91840, 525280).
[WARNING PSM-0024] Instance _04846_, current node at (205200, 705600) at layer 1 have been moved from (204960, 697760).
[WARNING PSM-0024] Instance _04849_, current node at (81000, 595840) at layer 1 have been moved from (80640, 588000).
[WARNING PSM-0024] Instance _04850_, current node at (151200, 627200) at layer 1 have been moved from (148960, 619360).
[WARNING PSM-0024] Instance _04851_, current node at (162000, 313600) at layer 1 have been moved from (162400, 305760).
[WARNING PSM-0024] Instance _04852_, current node at (237600, 329280) at layer 1 have been moved from (235200, 321440).
[WARNING PSM-0024] Instance _04853_, current node at (156600, 282240) at layer 1 have been moved from (159040, 274400).
[WARNING PSM-0024] Instance _04854_, current node at (248400, 282240) at layer 1 have been moved from (246400, 274400).
[WARNING PSM-0024] Instance _04855_, current node at (318600, 235200) at layer 1 have been moved from (319200, 227360).
[WARNING PSM-0024] Instance _04858_, current node at (426600, 235200) at layer 1 have been moved from (428960, 227360).
[WARNING PSM-0024] Instance _04860_, current node at (248400, 501760) at layer 1 have been moved from (246400, 493920).
[WARNING PSM-0024] Instance _04863_, current node at (232200, 235200) at layer 1 have been moved from (231840, 227360).
[WARNING PSM-0024] Instance _04864_, current node at (156600, 235200) at layer 1 have been moved from (157920, 227360).
[WARNING PSM-0024] Instance _04865_, current node at (253800, 219520) at layer 1 have been moved from (253120, 211680).
[WARNING PSM-0024] Instance _04866_, current node at (189000, 235200) at layer 1 have been moved from (189280, 227360).
[WARNING PSM-0024] Instance _04867_, current node at (75600, 266560) at layer 1 have been moved from (77280, 258720).
[WARNING PSM-0024] Instance _04871_, current node at (291600, 454720) at layer 1 have been moved from (293440, 446880).
[WARNING PSM-0024] Instance _04872_, current node at (421200, 454720) at layer 1 have been moved from (420000, 446880).
[WARNING PSM-0024] Instance _04876_, current node at (448200, 360640) at layer 1 have been moved from (449120, 352800).
