2026-08-29 19:24:09 +0800: Memory Usage (571324K) : Starting running GF180MCU Klayout DRC runset on /workspace/iris_c3a247b9-0025-43e1-bae8-42a940fa0b63/Chip-Orchestra/output/nanocgra_lite_3x3_opt/gds/nanocgra_lite_3x3_opt_filled.gds
2026-08-29 19:24:09 +0800: Memory Usage (571340K) : Ruby Version for klayout: 3.1.2
2026-08-29 19:24:09 +0800: Memory Usage (581056K) : Loading database to memory is complete.
2026-08-29 19:24:09 +0800: Memory Usage (581056K) : GF180MCU Klayout DRC runset output at: /workspace/iris_c3a247b9-0025-43e1-bae8-42a940fa0b63/Chip-Orchestra/output/nanocgra_lite_3x3_opt/reports/signoff/drc_main_d04.lyrdb
2026-08-29 19:24:09 +0800: Memory Usage (581056K) : Evaluate switches.
2026-08-29 19:24:09 +0800: Memory Usage (581056K) : table_name selected  main
2026-08-29 19:24:09 +0800: Memory Usage (581056K) : CONNECTIVITY_RULES enabled: false
2026-08-29 19:24:09 +0800: Memory Usage (581056K) : Wedge enabled: false
2026-08-29 19:24:09 +0800: Memory Usage (581056K) : Ball enabled: false
2026-08-29 19:24:09 +0800: Memory Usage (581056K) : Gold enabled: false
2026-08-29 19:24:09 +0800: Memory Usage (581056K) : MIM Option selected: B
2026-08-29 19:24:09 +0800: Memory Usage (581056K) : Offgrid enabled:  true
2026-08-29 19:24:10 +0800: Memory Usage (581056K) : Number of threads to use 2
2026-08-29 19:24:10 +0800: Memory Usage (581072K) : Verbose mode: 
2026-08-29 19:24:10 +0800: Memory Usage (581072K) : flat  mode is enabled for main table
2026-08-29 19:24:10 +0800: Memory Usage (581072K) : METAL_TOP Selected is 9K
2026-08-29 19:24:10 +0800: Memory Usage (581072K) : METAL_STACK Selected is 5LM
2026-08-29 19:24:10 +0800: Memory Usage (581072K) : FEOL enabled: false
2026-08-29 19:24:10 +0800: Memory Usage (581072K) : BEOL enabled: false
2026-08-29 19:24:10 +0800: Memory Usage (581072K) : SLOW_VIA enabled: false
2026-08-29 19:24:10 +0800: Memory Usage (581072K) : Read in polygons from layers.
2026-08-29 19:24:10 +0800: Memory Usage (584960K) : comp has 17761 polygons
2026-08-29 19:24:10 +0800: Memory Usage (584960K) : dnwell has 0 polygons
2026-08-29 19:24:10 +0800: Memory Usage (586588K) : nwell has 1139 polygons
2026-08-29 19:24:10 +0800: Memory Usage (586604K) : lvpwell has 1129 polygons
2026-08-29 19:24:10 +0800: Memory Usage (588452K) : dualgate has 569 polygons
2026-08-29 19:24:10 +0800: Memory Usage (588452K) : poly2 has 24926 polygons
2026-08-29 19:24:10 +0800: Memory Usage (591244K) : nplus has 1288 polygons
2026-08-29 19:24:10 +0800: Memory Usage (591244K) : pplus has 3341 polygons
2026-08-29 19:24:10 +0800: Memory Usage (591244K) : sab has 0 polygons
2026-08-29 19:24:10 +0800: Memory Usage (591244K) : esd has 0 polygons
2026-08-29 19:24:10 +0800: Memory Usage (591244K) : resistor has 0 polygons
2026-08-29 19:24:10 +0800: Memory Usage (591244K) : fhres has 0 polygons
2026-08-29 19:24:10 +0800: Memory Usage (591244K) : fusetop has 0 polygons
2026-08-29 19:24:10 +0800: Memory Usage (591244K) : fusewindow_d has 0 polygons
2026-08-29 19:24:10 +0800: Memory Usage (591244K) : polyfuse has 0 polygons
2026-08-29 19:24:10 +0800: Memory Usage (591244K) : mvsd has 0 polygons
2026-08-29 19:24:10 +0800: Memory Usage (591244K) : mvpsd has 0 polygons
2026-08-29 19:24:10 +0800: Memory Usage (591244K) : nat has 0 polygons
2026-08-29 19:24:10 +0800: Memory Usage (591244K) : comp_dummy has 0 polygons
2026-08-29 19:24:10 +0800: Memory Usage (591244K) : poly2_dummy has 0 polygons
2026-08-29 19:24:10 +0800: Memory Usage (591244K) : schottky_diode has 0 polygons
2026-08-29 19:24:10 +0800: Memory Usage (591244K) : zener has 0 polygons
2026-08-29 19:24:10 +0800: Memory Usage (591244K) : res_mk has 0 polygons
2026-08-29 19:24:11 +0800: Memory Usage (591244K) : opc_drc has 0 polygons
2026-08-29 19:24:11 +0800: Memory Usage (591244K) : v5_xtor has 581 polygons
2026-08-29 19:24:11 +0800: Memory Usage (591244K) : cap_mk has 0 polygons
2026-08-29 19:24:11 +0800: Memory Usage (591244K) : mos_cap_mk has 0 polygons
2026-08-29 19:24:11 +0800: Memory Usage (591244K) : ind_mk has 0 polygons
2026-08-29 19:24:11 +0800: Memory Usage (591244K) : diode_mk has 0 polygons
2026-08-29 19:24:11 +0800: Memory Usage (591244K) : drc_bjt has 0 polygons
2026-08-29 19:24:11 +0800: Memory Usage (591244K) : lvs_bjt has 0 polygons
2026-08-29 19:24:11 +0800: Memory Usage (591244K) : mim_l_mk has 0 polygons
2026-08-29 19:24:11 +0800: Memory Usage (591244K) : latchup_mk has 0 polygons
2026-08-29 19:24:11 +0800: Memory Usage (591244K) : guard_ring_mk has 0 polygons
2026-08-29 19:24:11 +0800: Memory Usage (591244K) : otp_mk has 0 polygons
2026-08-29 19:24:11 +0800: Memory Usage (591244K) : mtpmark has 0 polygons
