2026-09-03 21:48:18 +0800: Memory Usage (571028K) : Starting running GF180MCU Klayout DRC runset on /workspace/iris_c3a247b9-0025-43e1-bae8-42a940fa0b63/Chip-Orchestra/output/nanocgra_lite_3x3_opt/gds/nanocgra_lite_3x3_opt.gds
2026-09-03 21:48:18 +0800: Memory Usage (571044K) : Ruby Version for klayout: 3.1.2
2026-09-03 21:48:18 +0800: Memory Usage (591064K) : Loading database to memory is complete.
2026-09-03 21:48:18 +0800: Memory Usage (591064K) : GF180MCU Klayout DRC runset output at: /workspace/iris_c3a247b9-0025-43e1-bae8-42a940fa0b63/Chip-Orchestra/output/nanocgra_lite_3x3_opt/reports/signoff/drc_main_repair.lyrdb
2026-09-03 21:48:18 +0800: Memory Usage (591064K) : Evaluate switches.
2026-09-03 21:48:18 +0800: Memory Usage (591064K) : table_name selected  main
2026-09-03 21:48:18 +0800: Memory Usage (591064K) : CONNECTIVITY_RULES enabled: false
2026-09-03 21:48:18 +0800: Memory Usage (591064K) : Wedge enabled: false
2026-09-03 21:48:18 +0800: Memory Usage (591064K) : Ball enabled: false
2026-09-03 21:48:18 +0800: Memory Usage (591064K) : Gold enabled: false
2026-09-03 21:48:18 +0800: Memory Usage (591064K) : MIM Option selected: B
2026-09-03 21:48:18 +0800: Memory Usage (591064K) : Offgrid enabled:  true
2026-09-03 21:48:18 +0800: Memory Usage (591064K) : Number of threads to use 
2026-09-03 21:48:19 +0800: Memory Usage (591080K) : Verbose mode: 
2026-09-03 21:48:19 +0800: Memory Usage (591080K) : flat  mode is enabled for main table
2026-09-03 21:48:19 +0800: Memory Usage (591080K) : METAL_TOP Selected is 9K
2026-09-03 21:48:19 +0800: Memory Usage (591080K) : METAL_STACK Selected is 5LM
2026-09-03 21:48:19 +0800: Memory Usage (591080K) : FEOL enabled: false
2026-09-03 21:48:19 +0800: Memory Usage (591080K) : BEOL enabled: false
2026-09-03 21:48:19 +0800: Memory Usage (591080K) : SLOW_VIA enabled: false
2026-09-03 21:48:19 +0800: Memory Usage (591080K) : Read in polygons from layers.
2026-09-03 21:48:19 +0800: Memory Usage (595020K) : comp has 17796 polygons
2026-09-03 21:48:19 +0800: Memory Usage (595020K) : dnwell has 0 polygons
2026-09-03 21:48:19 +0800: Memory Usage (599864K) : nwell has 67 polygons
2026-09-03 21:48:19 +0800: Memory Usage (599864K) : lvpwell has 68 polygons
2026-09-03 21:48:19 +0800: Memory Usage (595076K) : dualgate has 1 polygons
2026-09-03 21:48:19 +0800: Memory Usage (596356K) : poly2 has 24903 polygons
2026-09-03 21:48:19 +0800: Memory Usage (610616K) : nplus has 68 polygons
2026-09-03 21:48:19 +0800: Memory Usage (610616K) : pplus has 2103 polygons
2026-09-03 21:48:19 +0800: Memory Usage (610616K) : sab has 0 polygons
2026-09-03 21:48:19 +0800: Memory Usage (610616K) : esd has 0 polygons
2026-09-03 21:48:19 +0800: Memory Usage (610616K) : resistor has 0 polygons
2026-09-03 21:48:19 +0800: Memory Usage (610616K) : fhres has 0 polygons
2026-09-03 21:48:19 +0800: Memory Usage (610616K) : fusetop has 0 polygons
2026-09-03 21:48:20 +0800: Memory Usage (610616K) : fusewindow_d has 0 polygons
2026-09-03 21:48:20 +0800: Memory Usage (610616K) : polyfuse has 0 polygons
